Completion_Time,Feedback_Rating,Attendance,Performance_Score,Predicted_Score,Performance_Category
3.26,4.09,86.5,70.98,78.11525000000005,Excel
3.92,1.33,59.23,42.16,51.781049999999944,Struggle
5.78,2.87,42.98,49.89,51.76585000000002,Struggle
4.28,1.43,83.16,68.49,62.21320000000002,Average
1.53,1.91,74.1,77.51,74.62100000000008,Average
2.07,2.46,86.93,97.98,91.62264999999978,Excel
1.24,1.8,98.06,72.22,73.1453999999998,Average
5.86,3.38,55.83,55.62,57.001600000000096,Struggle
4.23,3.05,85.48,79.96,73.43985,Average
5.31,2.04,61.52,65.64,59.415299999999945,Struggle
1.0,4.34,0.0,95.37,87.04849999999996,Excel
7.0,1.92,31.05,59.55,51.610099999999974,Struggle
5.9,2.71,56.8,73.69,54.21215000000006,Struggle
1.98,1.33,65.99,68.94,69.30060000000007,Average
2.22,1.01,67.1,73.52,59.634049999999995,Struggle
1.84,1.0,94.98,66.79,67.75175000000021,Average
2.82,1.0,87.09,52.54,57.6361500000001,Struggle
3.92,3.56,98.61,59.46,79.7017,Excel
3.54,1.0,8.47,56.65,57.22739999999986,Struggle
3.05,2.87,26.47,58.19,75.73304999999999,Excel
4.39,1.0,66.38,53.18,53.45044999999999,Struggle
2.24,1.8,42.26,56.06,56.75759999999998,Struggle
3.04,5.0,66.32,86.84,85.51884999999999,Excel
3.03,1.83,83.65,56.18,66.27115000000005,Average
3.42,4.74,76.54,81.34,82.1799000000001,Excel
5.49,1.0,69.27,43.09,43.63420000000005,Struggle
2.03,4.45,57.45,84.88,83.03999999999978,Excel
4.15,3.57,51.11,78.32,70.74244999999992,Average
4.1,2.62,60.94,64.94,64.72375000000005,Average
1.69,5.0,3.33,78.86,96.83912999999997,Excel
4.25,1.82,89.27,50.05,54.169199999999975,Struggle
1.8,5.0,55.62,86.89,90.64419999999998,Excel
1.0,5.0,86.21,100.0,98.1283,Excel
6.45,4.38,69.28,69.46,65.14414999999991,Average
7.0,2.64,24.4,58.41,55.86389999999992,Struggle
5.97,2.18,90.64,55.13,55.44580000000002,Struggle
2.56,5.0,78.98,94.96,82.46064999999993,Excel
1.96,2.97,61.79,63.74,76.20400000000002,Excel
5.41,4.05,94.73,65.78,68.63935000000018,Average
3.89,3.0,52.26,41.81,66.32924999999999,Average
2.08,2.69,60.09,90.93,85.26150000000013,Excel
4.09,1.0,87.6,52.86,53.88395000000002,Struggle
1.21,1.0,1.76,73.71,71.48194999999973,Average
6.33,2.23,64.46,52.61,50.50409999999998,Struggle
2.27,4.86,66.83,77.14,78.1739999999999,Excel
5.04,3.28,92.9,74.13,71.5841499999998,Average
3.26,1.0,65.68,56.28,56.69985000000006,Struggle
4.21,1.8,59.79,45.0,50.035550000000015,Struggle
4.7,3.83,41.66,77.46,74.15959999999977,Average
1.97,5.0,95.51,100.0,99.36370000000001,Excel
7.0,3.24,52.18,57.6,46.30654999999998,Struggle
5.8,3.64,88.29,66.46,65.9103999999998,Average
6.81,5.0,52.53,72.34,69.49415000000008,Average
6.52,1.0,71.27,55.67,50.052500000000045,Struggle
4.31,4.7,87.2,64.48,67.82369999999987,Average
6.17,1.91,98.29,63.22,58.29614999999992,Struggle
2.01,1.79,61.46,76.85,73.80825000000019,Average
1.73,4.9,57.18,77.79,80.10410000000027,Excel
1.24,2.11,6.07,89.23,87.847,Excel
2.88,3.87,83.45,71.0,87.95494999999997,Excel
3.19,2.83,71.9,60.83,63.94254999999995,Average
2.91,2.75,78.66,52.59,57.65510000000007,Struggle
6.22,4.93,4.95,66.57,64.5409499999999,Average
3.55,1.72,88.65,60.7,63.86215000000012,Average
2.59,1.0,95.99,69.42,67.69255000000005,Average
4.32,4.42,44.68,66.73,66.2198499999998,Average
2.24,1.72,64.67,78.72,75.79449999999979,Excel
6.3,2.01,60.28,68.4,59.51129999999986,Struggle
1.92,3.81,70.79,80.42,81.36500000000008,Excel
7.0,3.58,79.73,74.88,64.85699999999986,Average
5.27,5.0,71.0,71.83,74.04039999999998,Average
1.71,2.23,36.28,80.07,77.73059999999982,Excel
1.36,1.54,4.77,85.98,83.07194999999983,Excel
6.23,2.01,84.55,56.38,54.80864999999992,Struggle
5.49,2.93,63.3,84.76,74.50815000000011,Average
5.15,1.9,74.67,49.77,52.01965000000018,Struggle
5.77,1.0,58.26,43.04,42.04365000000001,Struggle
1.26,2.57,70.73,74.32,77.06409999999988,Excel
3.92,1.0,89.31,57.35,57.9770500000001,Struggle
1.58,5.0,70.64,95.12,92.61650000000013,Excel
6.59,1.35,84.83,66.09,52.64180000000006,Struggle
4.47,4.83,75.36,70.45,73.00060000000019,Average
3.07,4.42,37.83,77.46,76.20849999999976,Excel
1.24,3.79,89.81,84.33,85.61255,Excel
3.03,1.93,54.21,48.26,52.82935000000013,Struggle
3.01,4.25,76.24,73.87,74.13170000000015,Average
5.8,4.66,60.44,67.3,65.47599999999989,Average
4.43,1.67,1.95,54.52,57.7845000000002,Struggle
3.92,3.03,75.15,70.27,64.85274999999996,Average
4.1,2.71,74.98,54.45,57.151500000000084,Struggle
1.59,3.49,85.35,73.5,76.3485,Excel
4.95,2.87,52.75,53.12,55.14350000000006,Struggle
5.56,3.29,86.39,55.68,61.90879999999992,Average
4.52,4.19,70.48,79.87,66.96595,Average
5.17,5.0,46.61,78.67,78.57595000000002,Excel
3.75,2.33,78.85,68.34,67.96725000000008,Average
4.45,3.16,44.48,71.42,58.048299999999955,Struggle
3.59,2.87,7.37,75.39,71.8969,Average
1.0,1.0,8.66,81.78,78.48500000000018,Excel
1.43,2.47,59.64,62.92,68.05175000000003,Average
1.33,5.0,0.32,100.0,96.45087999999996,Excel
4.52,4.27,26.77,58.27,63.252199999999974,Average
3.22,4.73,65.42,85.64,83.85024999999987,Excel
4.23,3.15,31.77,53.08,63.50060000000005,Average
6.42,2.81,56.64,67.79,62.916850000000224,Average
3.92,1.0,56.56,55.73,54.492549999999795,Struggle
3.35,1.04,60.68,61.58,58.17179999999997,Struggle
5.27,2.05,91.43,64.25,60.156450000000106,Struggle
2.53,3.08,43.27,70.56,73.81099999999999,Average
1.53,1.0,72.92,62.97,64.98794999999987,Average
2.58,1.0,96.65,66.24,66.80099999999989,Average
1.81,1.0,91.54,60.9,64.85214999999985,Average
6.48,5.0,74.97,64.58,66.94409999999989,Average
5.64,4.57,85.09,56.8,61.09874999999991,Average
5.01,2.18,78.35,48.86,53.41974999999999,Struggle
6.38,1.0,66.83,41.03,39.07474999999992,Struggle
5.76,1.0,66.55,36.92,40.85655000000001,Struggle
2.02,2.87,73.1,79.76,78.01015000000018,Excel
6.23,2.98,66.83,29.18,39.75800000000002,Struggle
3.92,3.82,67.87,71.09,70.76764999999992,Average
5.43,1.8,53.35,40.53,40.26454999999996,Struggle
6.15,1.8,97.66,50.69,50.222199999999965,Struggle
2.73,2.56,98.15,97.99,90.62519999999999,Excel
1.71,4.67,77.79,84.48,87.06029999999973,Excel
2.64,1.09,80.33,63.75,66.14864999999995,Average
3.46,4.0,59.29,80.95,79.83810000000017,Excel
6.35,1.97,84.77,63.24,58.40759999999988,Struggle
6.49,4.0,31.43,62.25,64.65630000000003,Average
1.52,5.0,6.44,86.3,89.8435499999998,Excel
4.44,1.73,83.42,73.85,69.08735000000017,Average
3.62,4.77,65.52,83.1,82.68545000000016,Excel
2.43,1.0,52.49,53.85,57.42949999999998,Struggle
1.35,3.3,91.59,93.27,86.56815,Excel
3.25,3.64,65.52,65.99,69.93449999999993,Average
6.76,1.0,24.38,33.42,36.07115000000005,Struggle
2.95,1.0,53.74,44.75,58.07220000000007,Struggle
4.3,2.87,42.03,52.1,56.23590000000011,Struggle
5.16,3.4,58.9,66.61,63.95065000000009,Average
3.2,3.07,5.95,82.65,79.30519999999981,Excel
6.73,3.01,41.09,52.74,53.237199999999866,Struggle
6.99,1.8,90.23,43.18,45.055750000000096,Struggle
2.89,1.88,58.69,73.36,68.27850000000007,Average
4.32,5.0,74.64,82.74,80.99984999999991,Excel
3.1,1.59,84.4,71.36,69.81890000000013,Average
2.22,2.5,82.6,83.42,77.54124999999995,Excel
1.63,5.0,7.63,92.12,93.12435000000009,Excel
4.43,4.94,70.85,84.51,78.71265000000015,Excel
4.41,2.08,23.9,59.87,60.492350000000116,Struggle
1.01,2.43,74.69,95.39,89.10239999999983,Excel
2.61,4.17,61.66,71.83,83.96724999999996,Excel
6.7,5.0,53.89,62.35,64.27320000000013,Average
2.58,3.56,0.0,55.82,65.0176499999999,Average
1.79,2.87,24.18,68.74,69.2369499999999,Average
4.12,2.81,81.65,48.83,53.49154999999993,Struggle
6.96,3.18,62.99,64.23,58.506399999999864,Struggle
2.23,1.67,59.51,70.24,69.8050999999999,Average
5.18,1.8,50.21,50.92,48.43535000000004,Struggle
5.27,1.0,80.68,47.99,48.47850000000001,Struggle
2.62,4.41,62.43,84.95,84.23820000000018,Excel
4.87,5.0,36.75,70.71,74.75209999999971,Average
3.26,4.81,80.68,70.34,76.28240000000007,Excel
4.69,4.26,97.29,75.15,75.89034999999984,Excel
4.6,4.5,83.74,69.65,70.99069999999989,Average
4.23,1.0,89.15,62.94,59.60435000000006,Struggle
3.92,4.46,66.83,95.14,84.13309999999987,Excel
6.48,1.0,63.61,43.65,41.413349999999916,Struggle
3.25,3.47,72.71,72.52,73.57410000000023,Average
2.34,2.18,90.36,78.81,77.77369999999992,Excel
1.22,2.79,7.59,83.76,84.33150000000009,Excel
4.44,4.43,92.34,66.34,78.65360000000003,Excel
4.6,2.88,99.44,74.19,72.3346500000001,Average
1.0,2.36,8.86,65.59,71.22805000000005,Average
4.42,2.05,52.27,60.79,63.54910000000012,Average
2.24,1.0,57.48,58.69,58.53859999999998,Struggle
4.83,3.34,38.28,47.96,53.04809999999987,Struggle
1.82,2.86,56.55,52.66,57.11254999999992,Struggle
4.92,4.85,93.53,74.93,74.68010000000011,Average
2.88,2.51,51.16,62.03,63.39600000000009,Average
6.73,2.51,65.79,57.36,56.25050000000002,Struggle
1.78,3.71,59.23,82.34,81.53515000000007,Excel
3.16,1.72,96.58,81.88,76.81139999999986,Excel
1.73,3.68,63.2,83.41,81.63904999999995,Excel
6.85,2.35,6.32,53.18,52.688200000000045,Struggle
6.51,2.3,98.62,54.43,56.61135000000009,Struggle
2.82,3.36,74.85,81.54,79.0347500000002,Excel
4.96,1.98,61.72,57.5,50.85860000000002,Struggle
5.75,4.2,59.69,63.01,62.83330000000005,Average
4.76,4.0,61.15,75.25,76.448,Excel
3.73,2.87,85.43,59.25,62.49090000000005,Average
2.1,1.8,20.54,54.91,56.54784999999992,Struggle
1.48,4.32,52.57,76.8,78.76004999999981,Excel
6.49,2.0,80.41,46.14,49.717050000000015,Struggle
5.91,1.0,82.1,39.65,42.305499999999896,Struggle
5.02,4.0,83.26,85.35,82.93895000000009,Excel
3.09,1.0,48.22,60.99,59.92584999999989,Struggle
3.08,3.72,55.6,96.92,87.5397,Excel
3.92,2.87,76.68,70.12,71.7700000000001,Average
6.4,3.85,66.83,62.36,62.979050000000086,Average
5.98,1.8,89.85,52.42,50.97995000000005,Struggle
5.29,1.0,66.87,58.03,53.757065714285766,Struggle
4.64,2.89,20.76,61.65,58.366649999999865,Struggle
1.71,3.29,66.83,64.58,71.63554999999992,Average
2.06,1.22,74.38,73.71,72.26204999999973,Average
6.37,2.87,57.32,44.36,50.696350000000045,Struggle
4.71,2.44,93.39,59.92,64.72205000000008,Average
1.12,1.0,7.29,62.56,64.17454999999997,Average
1.42,3.15,66.83,96.77,88.9830500000002,Excel
4.58,3.27,48.92,55.34,57.33990000000008,Struggle
1.43,1.8,9.28,61.66,64.54034999999992,Average
2.06,4.32,59.61,79.9,80.36274999999989,Excel
4.49,4.0,34.34,84.11,81.6728000000001,Excel
5.11,1.32,52.37,46.04,51.98125000000005,Struggle
5.17,2.27,62.04,42.81,56.73869999999994,Struggle
2.43,3.08,67.27,76.93,75.19830000000012,Excel
4.82,5.0,91.66,82.64,82.39279999999987,Excel
2.81,3.94,28.36,80.19,78.2894000000001,Excel
2.76,4.29,66.83,77.46,76.5717999999997,Excel
5.12,2.06,71.97,47.8,56.19265000000004,Struggle
4.49,3.97,89.24,66.59,68.9887500000001,Average
6.32,2.16,98.81,45.2,51.44265000000003,Struggle
5.15,2.87,61.99,68.47,66.27984999999984,Average
4.61,2.87,57.88,80.61,60.126749999999994,Struggle
1.98,4.0,81.09,100.0,90.08009999999999,Excel
3.06,1.84,68.2,62.31,60.917049999999975,Average
2.65,1.0,66.83,57.38,59.308999999999834,Struggle
